Q2_center	xbj_center	Content
4.075	0.3675	71213.2
4.075	0.3725	29467.1
4.125	0.2925	5.04576e+06
4.125	0.2975	1.51178e+07
4.125	0.3025	1.31154e+07
4.125	0.3075	1.29433e+07
4.125	0.3125	8.91012e+06
4.125	0.3175	1.06708e+07
4.125	0.3225	1.0039e+07
4.125	0.3275	1.42033e+07
4.125	0.3325	2.23123e+06
4.125	0.3375	5.10283e+06
4.125	0.3425	4.11588e+06
4.125	0.3475	2.11586e+06
4.125	0.3525	1.75332e+06
4.125	0.3575	1.31575e+06
4.125	0.3625	489807
4.125	0.3675	139739
4.125	0.3725	125495
4.125	0.3775	56842.2
4.175	0.2975	9.25671e+06
4.175	0.3025	1.14499e+07
4.175	0.3075	1.05289e+07
4.175	0.3125	9.94764e+06
4.175	0.3175	1.08744e+07
4.175	0.3225	1.06924e+07
4.175	0.3275	8.49408e+06
4.175	0.3325	8.5784e+06
4.175	0.3375	4.02623e+06
4.175	0.3425	5.66013e+06
4.175	0.3475	4.68175e+06
4.175	0.3525	2.90361e+06
4.175	0.3575	3.22879e+06
4.175	0.3625	2.43954e+06
4.175	0.3675	361519
4.175	0.3725	106428
4.175	0.3775	95703.1
4.175	0.3825	210649
4.175	0.3875	36702.4
4.225	0.2975	1.82429e+06
4.225	0.3025	1.26797e+07
4.225	0.3075	1.05637e+07
4.225	0.3125	1.21954e+07
4.225	0.3175	1.05907e+07
4.225	0.3225	1.20207e+07
4.225	0.3275	1.09382e+07
4.225	0.3325	7.91506e+06
4.225	0.3375	8.46505e+06
4.225	0.3425	5.42997e+06
4.225	0.3475	2.62803e+06
4.225	0.3525	1.98182e+06
4.225	0.3575	2.05222e+06
4.225	0.3625	1.13217e+06
4.225	0.3675	2.4624e+06
4.225	0.3725	1.27643e+06
4.225	0.3775	254401
4.225	0.3825	93281.8
4.225	0.3875	126964
4.225	0.3925	85529.3
4.225	0.3975	21469.8
4.275	0.3025	3.12248e+06
4.275	0.3075	9.04252e+06
4.275	0.3125	9.38215e+06
4.275	0.3175	9.99427e+06
4.275	0.3225	9.24734e+06
4.275	0.3275	8.60132e+06
4.275	0.3325	8.73917e+06
4.275	0.3375	1.3715e+07
4.275	0.3425	6.7883e+06
4.275	0.3475	2.51906e+06
4.275	0.3525	4.65331e+06
4.275	0.3575	2.61526e+06
