Q2_center	xbj_center       N_total	
1.025	0.0525	1.4243e+07
1.025	0.0575	1.28015e+09
1.025	0.0625	1.63361e+09
1.025	0.0675	1.47013e+09
1.025	0.0725	1.36899e+09
1.025	0.0775	1.22394e+09
1.025	0.0825	1.15715e+09
1.025	0.0875	8.06584e+08
1.025	0.0925	4.54884e+08
1.025	0.0975	2.35972e+08
1.025	0.1025	4.23398e+07
1.075	0.0575	2.40936e+08
1.075	0.0625	1.43796e+09
1.075	0.0675	1.35116e+09
1.075	0.0725	1.25222e+09
1.075	0.0775	1.14612e+09
1.075	0.0825	1.04397e+09
1.075	0.0875	9.94976e+08
1.075	0.0925	8.54636e+08
1.075	0.0975	5.14466e+08
1.075	0.1025	3.54318e+08
1.075	0.1075	2.17233e+08
1.075	0.1125	4.1371e+07
1.125	0.0575	4158.94
1.125	0.0625	6.32641e+08
1.125	0.0675	1.25449e+09
1.125	0.0725	1.13682e+09
1.125	0.0775	1.06252e+09
1.125	0.0825	9.72554e+08
1.125	0.0875	9.23185e+08
1.125	0.0925	8.72751e+08
1.125	0.0975	7.96595e+08
1.125	0.1025	6.45714e+08
1.125	0.1075	3.94746e+08
1.125	0.1125	3.18789e+08
1.125	0.1175	2.15443e+08
1.125	0.1225	7.19491e+07
1.125	0.1275	321254
1.175	0.0625	3.17975e+07
1.175	0.0675	9.05968e+08
1.175	0.0725	1.07433e+09
1.175	0.0775	9.95327e+08
1.175	0.0825	9.17727e+08
1.175	0.0875	8.54452e+08
1.175	0.0925	8.35784e+08
1.175	0.0975	7.75516e+08
1.175	0.1025	7.09566e+08
1.175	0.1075	6.80282e+08
1.175	0.1125	5.21906e+08
1.175	0.1175	3.21225e+08
1.175	0.1225	2.89289e+08
1.175	0.1275	2.11361e+08
1.175	0.1325	1.06527e+08
1.175	0.1375	1.89737e+07
1.225	0.0675	2.06537e+08
1.225	0.0725	9.63015e+08
1.225	0.0775	9.30339e+08
1.225	0.0825	8.76485e+08
1.225	0.0875	8.10527e+08
1.225	0.0925	7.68521e+08
1.225	0.0975	7.38659e+08
1.225	0.1025	6.82748e+08
1.225	0.1075	6.29729e+08
1.225	0.1125	6.11389e+08
1.225	0.1175	5.73415e+08
1.225	0.1225	4.39595e+08
1.225	0.1275	3.01374e+08
1.225	0.1325	2.31698e+08
1.225	0.1375	2.1311e+08
1.225	0.1425	1.48765e+08
1.225	0.1475	7.03374e+07
1.225	0.1525	9.76576e+06
1.275	0.0675	217942
1.275	0.0725	4.46619e+08
1.275	0.0775	8.69348e+08
1.275	0.0825	7.96265e+08
1.275	0.0875	7.33203e+08
1.275	0.0925	7.23748e+08
1.275	0.0975	6.87926e+08
1.275	0.1025	6.40701e+08
1.275	0.1075	5.87794e+08
1.275	0.1125	5.59913e+08
1.275	0.1175	5.32577e+08
1.275	0.1225	5.17108e+08
1.275	0.1275	5.07131e+08
1.275	0.1325	4.16995e+08
1.275	0.1375	2.6423e+08
1.275	0.1425	1.92477e+08
1.275	0.1475	1.87962e+08
1.275	0.1525	1.74176e+08
1.275	0.1575	1.30516e+08
1.275	0.1625	7.1476e+07
1.275	0.1675	1.71427e+07
1.325	0.0725	2.75738e+07
1.325	0.0775	6.22848e+08
1.325	0.0825	7.44806e+08
1.325	0.0875	6.9839e+08
1.325	0.0925	6.39624e+08
1.325	0.0975	6.39802e+08
1.325	0.1025	5.95839e+08
1.325	0.1075	5.57917e+08
1.325	0.1125	5.2585e+08
1.325	0.1175	4.97603e+08
1.325	0.1225	4.75827e+08
1.325	0.1275	4.75164e+08
1.325	0.1325	4.49112e+08
1.325	0.1375	4.41632e+08
1.325	0.1425	3.55893e+08
1.325	0.1475	2.68457e+08
1.325	0.1525	1.82934e+08
1.325	0.1575	1.61179e+08
1.325	0.1625	1.69146e+08
1.325	0.1675	1.64399e+08
1.325	0.1725	1.18367e+08
1.325	0.1775	8.38696e+07
1.325	0.1825	4.23977e+07
1.325	0.1875	5.64178e+06
1.375	0.0775	1.29112e+08
1.375	0.0825	6.71318e+08
1.375	0.0875	6.70105e+08
1.375	0.0925	6.315e+08
1.375	0.0975	5.91383e+08
1.375	0.1025	5.68789e+08
1.375	0.1075	5.23705e+08
1.375	0.1125	4.90058e+08
1.375	0.1175	4.68004e+08
1.375	0.1225	4.44339e+08
1.375	0.1275	4.28413e+08
1.375	0.1325	4.33451e+08
1.375	0.1375	4.01973e+08
1.375	0.1425	3.98067e+08
1.375	0.1475	3.55165e+08
1.375	0.1525	3.47226e+08
1.375	0.1575	2.80291e+08
1.375	0.1625	1.9769e+08
1.375	0.1675	1.50573e+08
1.375	0.1725	1.4628e+08
1.375	0.1775	1.34681e+08
1.375	0.1825	1.42182e+08
1.375	0.1875	1.32011e+08
1.375	0.1925	1.01472e+08
1.375	0.1975	7.16073e+07
1.375	0.2025	3.76114e+07
1.375	0.2075	9.80739e+06
1.425	0.0775	301254
1.425	0.0825	2.79551e+08
1.425	0.0875	6.31395e+08
1.425	0.0925	5.96536e+08
1.425	0.0975	5.6415e+08
1.425	0.1025	5.2232e+08
1.425	0.1075	4.99037e+08
1.425	0.1125	4.71941e+08
1.425	0.1175	4.40254e+08
1.425	0.1225	4.22807e+08
1.425	0.1275	3.94173e+08
1.425	0.1325	4.03036e+08
1.425	0.1375	3.80646e+08
1.425	0.1425	3.62033e+08
1.425	0.1475	3.47052e+08
1.425	0.1525	3.24684e+08
1.425	0.1575	3.13904e+08
1.425	0.1625	3.081e+08
1.425	0.1675	2.7882e+08
1.425	0.1725	2.35347e+08
1.425	0.1775	1.75867e+08
1.425	0.1825	1.33317e+08
1.425	0.1875	1.20544e+08
1.425	0.1925	1.24462e+08
1.425	0.1975	1.14959e+08
1.425	0.2025	1.14257e+08
1.425	0.2075	1.08297e+08
1.425	0.2125	8.23613e+07
1.425	0.2175	5.82969e+07
1.425	0.2225	4.63362e+07
1.425	0.2275	2.89426e+07
1.425	0.2325	6.33243e+06
1.475	0.0825	1.45459e+07
1.475	0.0875	4.03608e+08
1.475	0.0925	5.58781e+08
1.475	0.0975	5.2368e+08
1.475	0.1025	4.98578e+08
1.475	0.1075	4.64164e+08
1.475	0.1125	4.43626e+08
1.475	0.1175	4.2149e+08
1.475	0.1225	3.9204e+08
1.475	0.1275	3.80109e+08
1.475	0.1325	3.5528e+08
1.475	0.1375	3.6e+08
1.475	0.1425	3.34404e+08
1.475	0.1475	3.28076e+08
1.475	0.1525	3.18532e+08
1.475	0.1575	2.97781e+08
1.475	0.1625	2.84801e+08
1.475	0.1675	2.79818e+08
1.475	0.1725	2.57868e+08
1.475	0.1775	2.56641e+08
1.475	0.1825	2.54133e+08
1.475	0.1875	2.09344e+08
1.475	0.1925	1.57628e+08
1.475	0.1975	1.34606e+08
1.475	0.2025	1.02061e+08
1.475	0.2075	1.04724e+08
1.475	0.2125	9.87574e+07
1.475	0.2175	9.08919e+07
1.475	0.2225	8.01572e+07
1.475	0.2275	9.08033e+07
1.475	0.2325	9.21506e+07
1.475	0.2375	7.39494e+07
1.475	0.2425	6.20906e+07
1.475	0.2475	3.69984e+07
1.475	0.2525	2.43978e+07
1.475	0.2575	1.65607e+07
1.475	0.2625	3.4516e+06
1.525	0.0875	6.58972e+07
1.525	0.0925	4.56089e+08
1.525	0.0975	4.94989e+08
1.525	0.1025	4.67098e+08
1.525	0.1075	4.44725e+08
1.525	0.1125	4.17355e+08
1.525	0.1175	3.96234e+08
1.525	0.1225	3.71891e+08
1.525	0.1275	3.58446e+08
1.525	0.1325	3.46898e+08
1.525	0.1375	3.29369e+08
1.525	0.1425	3.22985e+08
1.525	0.1475	3.13223e+08
1.525	0.1525	2.9497e+08
1.525	0.1575	2.86179e+08
1.525	0.1625	2.76451e+08
1.525	0.1675	2.66506e+08
1.525	0.1725	2.55531e+08
1.525	0.1775	2.39153e+08
1.525	0.1825	2.29885e+08
1.525	0.1875	2.28092e+08
1.525	0.1925	2.24165e+08
1.525	0.1975	2.11299e+08
1.525	0.2025	1.84355e+08
1.525	0.2075	1.50428e+08
1.525	0.2125	1.34676e+08
1.525	0.2175	1.03613e+08
1.525	0.2225	8.76836e+07
1.525	0.2275	7.26767e+07
1.525	0.2325	7.49941e+07
1.525	0.2375	8.39244e+07
1.525	0.2425	7.92979e+07
1.525	0.2475	7.65088e+07
1.525	0.2525	7.00981e+07
1.525	0.2575	6.36012e+07
1.525	0.2625	7.37269e+07
1.525	0.2675	6.43707e+07
1.525	0.2725	5.38842e+07
1.525	0.2775	3.53972e+07
1.525	0.2825	2.70282e+07
1.525	0.2875	1.8886e+07
1.525	0.2925	1.075e+07
1.525	0.2975	2.59662e+06
1.575	0.0875	2140.08
1.575	0.0925	1.4432e+08
1.575	0.0975	4.43594e+08
1.575	0.1025	4.4534e+08
1.575	0.1075	4.31825e+08
1.575	0.1125	3.97956e+08
1.575	0.1175	3.79929e+08
1.575	0.1225	3.57682e+08
1.575	0.1275	3.42081e+08
1.575	0.1325	3.35471e+08
1.575	0.1375	3.07843e+08
1.575	0.1425	3.12506e+08
1.575	0.1475	2.86216e+08
1.575	0.1525	2.81139e+08
1.575	0.1575	2.8085e+08
1.575	0.1625	2.64163e+08
1.575	0.1675	2.47773e+08
1.575	0.1725	2.37572e+08
1.575	0.1775	2.34577e+08
1.575	0.1825	2.25053e+08
1.575	0.1875	2.15405e+08
1.575	0.1925	2.05895e+08
1.575	0.1975	2.02817e+08
1.575	0.2025	1.90055e+08
1.575	0.2075	1.83593e+08
1.575	0.2125	1.7219e+08
1.575	0.2175	1.87678e+08
1.575	0.2225	1.71594e+08
1.575	0.2275	1.3769e+08
1.575	0.2325	9.9545e+07
1.575	0.2375	8.06637e+07
1.575	0.2425	7.44238e+07
1.575	0.2475	7.42964e+07
1.575	0.2525	6.81136e+07
1.575	0.2575	6.9208e+07
1.575	0.2625	6.01806e+07
1.575	0.2675	5.66257e+07
1.575	0.2725	6.54145e+07
1.575	0.2775	6.66122e+07
1.575	0.2825	6.04435e+07
1.575	0.2875	5.35555e+07
1.575	0.2925	5.69435e+07
1.575	0.2975	6.31634e+07
1.575	0.3025	5.33073e+07
1.575	0.3075	3.96791e+07
1.575	0.3125	2.75011e+07
1.575	0.3175	2.07826e+07
1.575	0.3225	2.0228e+07
1.575	0.3275	1.22881e+07
1.575	0.3325	1.00828e+07
1.575	0.3375	3.31679e+06
1.575	0.3425	253837
1.625	0.0925	3.54641e+06
1.625	0.0975	2.2615e+08
1.625	0.1025	4.15656e+08
1.625	0.1075	4.04539e+08
1.625	0.1125	3.8131e+08
1.625	0.1175	3.58618e+08
1.625	0.1225	3.51514e+08
1.625	0.1275	3.25924e+08
1.625	0.1325	3.12375e+08
1.625	0.1375	2.97993e+08
1.625	0.1425	2.88384e+08
1.625	0.1475	2.81334e+08
1.625	0.1525	2.6256e+08
1.625	0.1575	2.56836e+08
1.625	0.1625	2.50921e+08
1.625	0.1675	2.42357e+08
1.625	0.1725	2.27245e+08
1.625	0.1775	2.1649e+08
1.625	0.1825	2.09666e+08
1.625	0.1875	2.11694e+08
1.625	0.1925	2.00548e+08
1.625	0.1975	1.81424e+08
1.625	0.2025	1.8339e+08
1.625	0.2075	1.749e+08
1.625	0.2125	1.68151e+08
1.625	0.2175	1.56132e+08
1.625	0.2225	1.62629e+08
1.625	0.2275	1.71512e+08
1.625	0.2325	1.58545e+08
1.625	0.2375	1.40199e+08
1.625	0.2425	1.45429e+08
1.625	0.2475	1.24957e+08
1.625	0.2525	1.05644e+08
1.625	0.2575	9.30718e+07
1.625	0.2625	7.22322e+07
1.625	0.2675	5.99474e+07
1.625	0.2725	4.94092e+07
1.625	0.2775	5.56033e+07
1.625	0.2825	5.82652e+07
1.625	0.2875	5.84222e+07
1.625	0.2925	5.43869e+07
1.625	0.2975	4.74663e+07
1.625	0.3025	5.10994e+07
1.625	0.3075	5.48526e+07
1.625	0.3125	5.12215e+07
1.625	0.3175	4.26951e+07
1.625	0.3225	3.71132e+07
1.625	0.3275	3.89914e+07
1.625	0.3325	4.39462e+07
1.625	0.3375	4.48374e+07
1.625	0.3425	4.15306e+07
1.625	0.3475	3.21025e+07
1.625	0.3525	2.7393e+07
1.625	0.3575	2.36018e+07
1.625	0.3625	2.02436e+07
1.625	0.3675	1.31537e+07
1.625	0.3725	1.5608e+07
1.625	0.3775	1.17895e+07
1.625	0.3825	5.32953e+06
1.625	0.3875	2.80476e+06
1.625	0.3925	856367
1.675	0.0975	2.29473e+07
1.675	0.1025	2.82975e+08
1.675	0.1075	3.78871e+08
1.675	0.1125	3.60974e+08
1.675	0.1175	3.40829e+08
1.675	0.1225	3.25259e+08
1.675	0.1275	3.13635e+08
1.675	0.1325	2.99989e+08
1.675	0.1375	2.85075e+08
1.675	0.1425	2.76694e+08
1.675	0.1475	2.63614e+08
1.675	0.1525	2.52406e+08
1.675	0.1575	2.36845e+08
1.675	0.1625	2.2604e+08
1.675	0.1675	2.32521e+08
1.675	0.1725	2.19161e+08
1.675	0.1775	2.16465e+08
1.675	0.1825	2.06425e+08
1.675	0.1875	1.95002e+08
1.675	0.1925	1.95039e+08
1.675	0.1975	1.85247e+08
1.675	0.2025	1.67548e+08
1.675	0.2075	1.70541e+08
1.675	0.2125	1.72532e+08
1.675	0.2175	1.64043e+08
1.675	0.2225	1.45109e+08
1.675	0.2275	1.46459e+08
1.675	0.2325	1.53924e+08
1.675	0.2375	1.50649e+08
1.675	0.2425	1.27038e+08
1.675	0.2475	1.29564e+08
1.675	0.2525	1.29954e+08
1.675	0.2575	1.21083e+08
1.675	0.2625	1.25326e+08
1.675	0.2675	1.11184e+08
1.675	0.2725	1.01223e+08
1.675	0.2775	8.83093e+07
1.675	0.2825	6.89795e+07
1.675	0.2875	6.54015e+07
1.675	0.2925	5.85099e+07
1.675	0.2975	5.06749e+07
1.675	0.3025	4.6153e+07
1.675	0.3075	4.30091e+07
1.675	0.3125	4.5846e+07
1.675	0.3175	4.8316e+07
1.675	0.3225	4.57505e+07
1.675	0.3275	3.85813e+07
1.675	0.3325	3.30261e+07
1.675	0.3375	3.44718e+07
1.675	0.3425	3.7139e+07
1.675	0.3475	3.98902e+07
1.675	0.3525	3.78081e+07
1.675	0.3575	3.32617e+07
1.675	0.3625	3.23389e+07
1.675	0.3675	3.30134e+07
1.675	0.3725	2.93181e+07
1.675	0.3775	3.07012e+07
1.675	0.3825	3.39864e+07
1.675	0.3875	3.05882e+07
1.675	0.3925	2.65036e+07
1.675	0.3975	2.42486e+07
1.675	0.4025	2.38936e+07
1.675	0.4075	1.92807e+07
1.675	0.4125	1.47098e+07
1.675	0.4175	1.55756e+07
1.675	0.4225	1.47816e+07
1.675	0.4275	1.21516e+07
1.675	0.4325	7.21384e+06
1.675	0.4375	7.21397e+06
1.675	0.4425	4.89055e+06
1.675	0.4475	2.72654e+06
1.675	0.4525	1.4927e+06
1.675	0.4575	1.06539e+06
1.725	0.1025	5.64457e+07
1.725	0.1075	3.01319e+08
1.725	0.1125	3.39867e+08
1.725	0.1175	3.21437e+08
1.725	0.1225	3.09269e+08
1.725	0.1275	2.95421e+08
1.725	0.1325	2.86578e+08
1.725	0.1375	2.75628e+08
1.725	0.1425	2.56957e+08
1.725	0.1475	2.55615e+08
1.725	0.1525	2.39539e+08
1.725	0.1575	2.31538e+08
1.725	0.1625	2.17415e+08
1.725	0.1675	2.1102e+08
1.725	0.1725	2.13222e+08
1.725	0.1775	2.00119e+08
1.725	0.1825	1.98336e+08
1.725	0.1875	1.91446e+08
1.725	0.1925	1.77685e+08
1.725	0.1975	1.76227e+08
1.725	0.2025	1.68427e+08
1.725	0.2075	1.56394e+08
1.725	0.2125	1.53125e+08
1.725	0.2175	1.58291e+08
1.725	0.2225	1.54254e+08
1.725	0.2275	1.47834e+08
1.725	0.2325	1.40718e+08
1.725	0.2375	1.43292e+08
1.725	0.2425	1.36197e+08
1.725	0.2475	1.2164e+08
1.725	0.2525	1.16682e+08
1.725	0.2575	1.19866e+08
1.725	0.2625	1.12922e+08
1.725	0.2675	1.08628e+08
1.725	0.2725	1.10114e+08
1.725	0.2775	1.00132e+08
1.725	0.2825	1.08014e+08
1.725	0.2875	9.65236e+07
1.725	0.2925	9.06493e+07
1.725	0.2975	9.34005e+07
1.725	0.3025	8.00728e+07
1.725	0.3075	7.46338e+07
1.725	0.3125	6.74753e+07
1.725	0.3175	5.56499e+07
1.725	0.3225	5.10142e+07
1.725	0.3275	4.86661e+07
1.725	0.3325	4.02391e+07
1.725	0.3375	3.42456e+07
1.725	0.3425	2.97264e+07
1.725	0.3475	3.09444e+07
1.725	0.3525	3.27732e+07
1.725	0.3575	3.38192e+07
1.725	0.3625	3.33659e+07
1.725	0.3675	2.81943e+07
1.725	0.3725	2.74782e+07
1.725	0.3775	2.98887e+07
1.725	0.3825	2.55052e+07
1.725	0.3875	2.63062e+07
1.725	0.3925	2.94249e+07
1.725	0.3975	2.9886e+07
1.725	0.4025	2.37722e+07
1.725	0.4075	2.38911e+07
1.725	0.4125	2.50423e+07
1.725	0.4175	2.10724e+07
1.725	0.4225	2.07535e+07
1.725	0.4275	2.23581e+07
1.725	0.4325	2.38701e+07
1.725	0.4375	2.244e+07
1.725	0.4425	1.93441e+07
1.725	0.4475	1.83505e+07
1.725	0.4525	1.82166e+07
1.725	0.4575	1.72005e+07
1.725	0.4625	1.75953e+07
1.725	0.4675	1.84022e+07
1.725	0.4725	1.51242e+07
1.725	0.4775	1.44121e+07
1.725	0.4825	1.19687e+07
1.725	0.4875	1.0197e+07
1.725	0.4925	1.00164e+07
1.725	0.4975	7.28487e+06
1.725	0.5025	6.20744e+06
1.725	0.5075	6.98842e+06
1.725	0.5125	6.11827e+06
1.725	0.5175	4.87384e+06
1.725	0.5225	4.48524e+06
1.725	0.5275	3.88144e+06
1.725	0.5325	1.53757e+06
1.725	0.5375	1.81188e+06
1.725	0.5425	296325
1.725	0.5475	100691
1.775	0.1025	507936
1.775	0.1075	9.74369e+07
1.775	0.1125	2.9317e+08
1.775	0.1175	3.09633e+08
1.775	0.1225	2.91017e+08
1.775	0.1275	2.75008e+08
1.775	0.1325	2.64472e+08
1.775	0.1375	2.62259e+08
1.775	0.1425	2.54619e+08
1.775	0.1475	2.4145e+08
1.775	0.1525	2.36943e+08
1.775	0.1575	2.158e+08
1.775	0.1625	2.12689e+08
1.775	0.1675	1.97666e+08
1.775	0.1725	1.89305e+08
1.775	0.1775	1.93828e+08
1.775	0.1825	1.83565e+08
1.775	0.1875	1.81574e+08
1.775	0.1925	1.7579e+08
1.775	0.1975	1.63912e+08
1.775	0.2025	1.63727e+08
1.775	0.2075	1.57867e+08
1.775	0.2125	1.46469e+08
1.775	0.2175	1.38803e+08
1.775	0.2225	1.45149e+08
1.775	0.2275	1.4118e+08
1.775	0.2325	1.35713e+08
1.775	0.2375	1.30703e+08
1.775	0.2425	1.22367e+08
1.775	0.2475	1.17887e+08
1.775	0.2525	1.19906e+08
1.775	0.2575	1.12004e+08
1.775	0.2625	1.10035e+08
1.775	0.2675	1.09691e+08
1.775	0.2725	9.94701e+07
1.775	0.2775	1.04353e+08
1.775	0.2825	9.43717e+07
1.775	0.2875	9.39337e+07
1.775	0.2925	9.16014e+07
1.775	0.2975	8.48162e+07
1.775	0.3025	8.415e+07
1.775	0.3075	8.19682e+07
1.775	0.3125	8.37384e+07
1.775	0.3175	8.28917e+07
1.775	0.3225	7.88607e+07
1.775	0.3275	7.63034e+07
1.775	0.3325	7.5668e+07
1.775	0.3375	6.90502e+07
1.775	0.3425	5.18838e+07
1.775	0.3475	5.22319e+07
1.775	0.3525	4.25628e+07
1.775	0.3575	4.02585e+07
1.775	0.3625	3.80026e+07
1.775	0.3675	3.12644e+07
1.775	0.3725	3.06641e+07
1.775	0.3775	2.5436e+07
1.775	0.3825	2.5097e+07
1.775	0.3875	2.5797e+07
1.775	0.3925	2.39158e+07
1.775	0.3975	2.29075e+07
1.775	0.4025	2.59138e+07
1.775	0.4075	2.64904e+07
1.775	0.4125	2.25968e+07
1.775	0.4175	2.11407e+07
1.775	0.4225	2.1795e+07
1.775	0.4275	2.01303e+07
1.775	0.4325	1.79768e+07
1.775	0.4375	1.88347e+07
1.775	0.4425	2.20119e+07
1.775	0.4475	2.23821e+07
1.775	0.4525	1.78514e+07
1.775	0.4575	1.69444e+07
1.775	0.4625	1.53298e+07
1.775	0.4675	1.48695e+07
1.775	0.4725	1.55279e+07
1.775	0.4775	1.66887e+07
1.775	0.4825	1.7392e+07
1.775	0.4875	1.52041e+07
1.775	0.4925	1.51229e+07
1.775	0.4975	1.48881e+07
1.775	0.5025	1.31685e+07
1.775	0.5075	1.29875e+07
1.775	0.5125	1.30153e+07
1.775	0.5175	1.3749e+07
1.775	0.5225	1.43732e+07
1.775	0.5275	1.51226e+07
1.775	0.5325	1.48486e+07
1.775	0.5375	1.32676e+07
1.775	0.5425	1.18311e+07
1.775	0.5475	9.48098e+06
1.775	0.5525	9.84835e+06
1.775	0.5575	8.4666e+06
1.775	0.5625	8.11638e+06
1.775	0.5675	7.30067e+06
1.775	0.5725	7.42857e+06
1.775	0.5775	7.63115e+06
1.775	0.5825	7.12661e+06
1.775	0.5875	6.51729e+06
1.775	0.5925	5.43995e+06
1.775	0.5975	4.7501e+06
1.775	0.6025	3.95082e+06
1.775	0.6075	4.16971e+06
1.775	0.6125	3.57086e+06
1.775	0.6175	2.45063e+06
1.775	0.6225	2.24784e+06
1.775	0.6275	1.88597e+06
1.775	0.6325	1.41742e+06
1.775	0.6375	1.28328e+06
1.775	0.6425	1.75584e+06
1.775	0.6475	1.47436e+06
1.775	0.6525	962300
1.775	0.6575	505055
1.775	0.6625	190214
1.775	0.6675	38496.1
1.825	0.1075	3.53769e+06
1.825	0.1125	1.34883e+08
1.825	0.1175	2.77634e+08
1.825	0.1225	2.80323e+08
1.825	0.1275	2.61429e+08
1.825	0.1325	2.4732e+08
1.825	0.1375	2.46565e+08
1.825	0.1425	2.39302e+08
1.825	0.1475	2.34074e+08
1.825	0.1525	2.21377e+08
1.825	0.1575	2.13074e+08
1.825	0.1625	1.98987e+08
1.825	0.1675	1.94071e+08
1.825	0.1725	1.82152e+08
1.825	0.1775	1.76269e+08
1.825	0.1825	1.81293e+08
1.825	0.1875	1.68459e+08
1.825	0.1925	1.61626e+08
1.825	0.1975	1.60427e+08
1.825	0.2025	1.46617e+08
1.825	0.2075	1.46439e+08
1.825	0.2125	1.4294e+08
1.825	0.2175	1.40923e+08
1.825	0.2225	1.33669e+08
1.825	0.2275	1.34872e+08
1.825	0.2325	1.30569e+08
1.825	0.2375	1.24515e+08
1.825	0.2425	1.19279e+08
1.825	0.2475	1.16429e+08
1.825	0.2525	1.0722e+08
1.825	0.2575	1.07155e+08
1.825	0.2625	1.08558e+08
1.825	0.2675	1.07835e+08
1.825	0.2725	1.08819e+08
1.825	0.2775	9.21733e+07
1.825	0.2825	9.40462e+07
1.825	0.2875	8.92463e+07
1.825	0.2925	8.50313e+07
1.825	0.2975	8.69576e+07
1.825	0.3025	7.96043e+07
1.825	0.3075	7.37869e+07
1.825	0.3125	7.61475e+07
1.825	0.3175	7.26294e+07
1.825	0.3225	7.62173e+07
1.825	0.3275	7.74824e+07
1.825	0.3325	6.61775e+07
1.825	0.3375	6.82109e+07
1.825	0.3425	7.06952e+07
1.825	0.3475	6.33258e+07
1.825	0.3525	6.27384e+07
1.825	0.3575	6.4449e+07
1.825	0.3625	5.95605e+07
1.825	0.3675	6.18898e+07
1.825	0.3725	5.18594e+07
1.825	0.3775	5.01053e+07
1.825	0.3825	4.68579e+07
1.825	0.3875	3.88277e+07
1.825	0.3925	3.37644e+07
1.825	0.3975	3.24681e+07
1.825	0.4025	3.16036e+07
1.825	0.4075	2.56946e+07
1.825	0.4125	2.51999e+07
1.825	0.4175	2.46299e+07
1.825	0.4225	2.12718e+07
1.825	0.4275	1.8739e+07
1.825	0.4325	1.81467e+07
1.825	0.4375	1.81301e+07
1.825	0.4425	1.65349e+07
1.825	0.4475	1.59433e+07
1.825	0.4525	1.80191e+07
1.825	0.4575	1.92241e+07
1.825	0.4625	1.76658e+07
1.825	0.4675	1.48677e+07
1.825	0.4725	1.38088e+07
1.825	0.4775	1.34917e+07
1.825	0.4825	1.279e+07
1.825	0.4875	1.40601e+07
1.825	0.4925	1.54312e+07
1.825	0.4975	1.39786e+07
1.825	0.5025	1.33666e+07
1.825	0.5075	1.30537e+07
1.825	0.5125	1.32459e+07
1.825	0.5175	1.15289e+07
1.825	0.5225	1.12225e+07
1.825	0.5275	1.08463e+07
1.825	0.5325	1.22797e+07
1.825	0.5375	1.21905e+07
1.825	0.5425	1.18972e+07
1.825	0.5475	1.25888e+07
1.825	0.5525	1.26339e+07
1.825	0.5575	1.08153e+07
1.825	0.5625	9.10479e+06
1.825	0.5675	8.50191e+06
1.825	0.5725	8.41227e+06
1.825	0.5775	7.85536e+06
1.825	0.5825	7.51926e+06
1.825	0.5875	8.66829e+06
1.825	0.5925	8.61698e+06
1.825	0.5975	9.14151e+06
1.825	0.6025	9.31799e+06
1.825	0.6075	8.43409e+06
1.825	0.6125	8.38991e+06
1.825	0.6175	7.31694e+06
1.825	0.6225	7.37894e+06
1.825	0.6275	6.64481e+06
1.825	0.6325	6.19765e+06
1.825	0.6375	5.96687e+06
1.825	0.6425	5.76162e+06
1.825	0.6475	6.88696e+06
1.825	0.6525	7.72932e+06
1.825	0.6575	8.95593e+06
1.825	0.6625	8.57394e+06
1.825	0.6675	7.1271e+06
1.825	0.6725	6.06953e+06
1.825	0.6775	5.50367e+06
1.825	0.6825	5.66091e+06
1.825	0.6875	5.12424e+06
1.825	0.6925	4.69235e+06
1.825	0.6975	3.55484e+06
1.825	0.7025	2.69886e+06
1.825	0.7075	2.23353e+06
1.825	0.7125	1.79622e+06
1.825	0.7175	1.92338e+06
1.825	0.7225	2.33047e+06
1.825	0.7275	2.43579e+06
1.825	0.7325	2.41746e+06
1.825	0.7375	1.71907e+06
1.825	0.7425	1.66097e+06
1.825	0.7475	1.51305e+06
1.825	0.7525	1.47617e+06
1.825	0.7575	1.85472e+06
1.825	0.7625	1.45991e+06
1.825	0.7675	1.2326e+06
1.825	0.7725	1.15001e+06
1.825	0.7775	837427
1.825	0.7825	781423
1.825	0.7875	985899
1.825	0.7925	953195
1.825	0.7975	1.11118e+06
1.825	0.8025	644796
1.825	0.8075	464257
1.825	0.8125	626490
1.825	0.8175	678162
1.825	0.8225	308094
1.825	0.8275	189060
1.825	0.8325	135987
1.825	0.8375	30597.2
1.825	0.8425	4370.82
1.875	0.1125	1.22966e+07
1.875	0.1175	1.64926e+08
1.875	0.1225	2.59497e+08
1.875	0.1275	2.56942e+08
1.875	0.1325	2.38154e+08
1.875	0.1375	2.27009e+08
1.875	0.1425	2.26881e+08
1.875	0.1475	2.1596e+08
1.875	0.1525	2.11246e+08
1.875	0.1575	2.05325e+08
1.875	0.1625	1.93752e+08
1.875	0.1675	1.84245e+08
1.875	0.1725	1.8065e+08
1.875	0.1775	1.71097e+08
1.875	0.1825	1.72074e+08
1.875	0.1875	1.66228e+08
1.875	0.1925	1.53452e+08
1.875	0.1975	1.48469e+08
1.875	0.2025	1.48534e+08
1.875	0.2075	1.44335e+08
1.875	0.2125	1.397e+08
1.875	0.2175	1.30949e+08
1.875	0.2225	1.2657e+08
1.875	0.2275	1.24934e+08
1.875	0.2325	1.28304e+08
1.875	0.2375	1.21349e+08
1.875	0.2425	1.15999e+08
1.875	0.2475	1.09804e+08
1.875	0.2525	1.09075e+08
1.875	0.2575	9.75339e+07
1.875	0.2625	9.70323e+07
1.875	0.2675	9.95286e+07
1.875	0.2725	9.8484e+07
1.875	0.2775	9.9793e+07
1.875	0.2825	9.30439e+07
1.875	0.2875	8.44218e+07
