Q2_center	xbj_center	Content
3.675	0.2825	4.54724e+06
3.675	0.2875	2.96373e+06
3.675	0.2925	1.50019e+06
3.675	0.2975	159671
3.675	0.3025	69547.8
3.675	0.3075	13449.1
3.725	0.2475	4.90361e+06
3.725	0.2525	1.22649e+07
3.725	0.2575	1.21891e+07
3.725	0.2625	1.20628e+07
3.725	0.2675	1.19804e+07
3.725	0.2725	1.00648e+07
3.725	0.2775	8.47561e+06
3.725	0.2825	6.45661e+06
3.725	0.2875	4.76723e+06
3.725	0.2925	2.83013e+06
3.725	0.2975	2.0678e+06
3.725	0.3025	363905
3.725	0.3075	73465
3.725	0.3125	57290.8
3.725	0.3175	4119.24
3.775	0.2475	16331.7
3.775	0.2525	8.47289e+06
3.775	0.2575	1.16747e+07
3.775	0.2625	1.15477e+07
3.775	0.2675	1.14762e+07
3.775	0.2725	1.1451e+07
3.775	0.2775	9.66791e+06
3.775	0.2825	8.16421e+06
3.775	0.2875	6.33244e+06
3.775	0.2925	4.96211e+06
3.775	0.2975	2.8455e+06
3.775	0.3025	2.29188e+06
3.775	0.3075	727981
3.775	0.3125	72664.5
3.775	0.3175	115983
3.775	0.3225	42349.4
3.825	0.2525	1.25461e+06
3.825	0.2575	1.06737e+07
3.825	0.2625	1.0856e+07
3.825	0.2675	1.09855e+07
3.825	0.2725	1.10643e+07
3.825	0.2775	1.07326e+07
3.825	0.2825	9.18854e+06
3.825	0.2875	8.24938e+06
3.825	0.2925	6.09047e+06
3.825	0.2975	5.08985e+06
3.825	0.3025	3.0355e+06
3.825	0.3075	2.29516e+06
3.825	0.3125	1.15499e+06
3.825	0.3175	149607
3.825	0.3225	149073
3.825	0.3275	79390.8
3.825	0.3325	2318.29
3.875	0.2575	4.31188e+06
3.875	0.2625	1.06842e+07
3.875	0.2675	1.0465e+07
3.875	0.2725	1.04515e+07
3.875	0.2775	1.03932e+07
3.875	0.2825	9.98034e+06
3.875	0.2875	8.78841e+06
3.875	0.2925	8.06852e+06
3.875	0.2975	5.98679e+06
3.875	0.3025	5.19928e+06
3.875	0.3075	3.62388e+06
3.875	0.3125	2.07259e+06
3.875	0.3175	1.6666e+06
3.875	0.3225	456428
3.875	0.3275	158872
3.875	0.3325	110619
3.875	0.3375	26346.6
3.925	0.2575	15578.1
3.925	0.2625	7.53967e+06
3.925	0.2675	1.01375e+07
3.925	0.2725	1.00021e+07
3.925	0.2775	9.95442e+06
3.925	0.2825	9.56153e+06
3.925	0.2875	9.43085e+06
3.925	0.2925	8.38868e+06
3.925	0.2975	7.77608e+06
3.925	0.3025	6.09305e+06
3.925	0.3075	4.98442e+06
3.925	0.3125	4.13008e+06
3.925	0.3175	2.10594e+06
3.925	0.3225	1.99004e+06
3.925	0.3275	1.0733e+06
3.925	0.3325	165697
3.925	0.3375	121025
3.925	0.3425	40971.3
3.925	0.3475	7970.98
3.975	0.2625	1.09235e+06
3.975	0.2675	9.50006e+06
3.975	0.2725	9.72594e+06
3.975	0.2775	9.5692e+06
3.975	0.2825	9.42602e+06
3.975	0.2875	9.05967e+06
3.975	0.2925	8.86817e+06
3.975	0.2975	8.24931e+06
3.975	0.3025	7.46386e+06
3.975	0.3075	6.2497e+06
3.975	0.3125	4.91003e+06
3.975	0.3175	4.50682e+06
3.975	0.3225	2.29199e+06
3.975	0.3275	2.01392e+06
3.975	0.3325	1.56591e+06
3.975	0.3375	301555
3.975	0.3425	110552
3.975	0.3475	81689.8
3.975	0.3525	59230.9
3.975	0.3575	151.667
4.025	0.2675	3.59966e+06
4.025	0.2725	9.48092e+06
4.025	0.2775	9.46392e+06
4.025	0.2825	9.29388e+06
4.025	0.2875	8.81168e+06
4.025	0.2925	8.69566e+06
4.025	0.2975	8.38394e+06
4.025	0.3025	8.12687e+06
4.025	0.3075	7.08904e+06
4.025	0.3125	6.29381e+06
4.025	0.3175	4.9419e+06
4.025	0.3225	4.38965e+06
4.025	0.3275	2.73043e+06
4.025	0.3325	2.00685e+06
4.025	0.3375	1.64831e+06
4.025	0.3425	729521
4.025	0.3475	103734
4.025	0.3525	109154
4.025	0.3575	73202
4.025	0.3625	15121.9
4.075	0.2675	12873.5
4.075	0.2725	6.50022e+06
4.075	0.2775	9.11906e+06
4.075	0.2825	8.87544e+06
4.075	0.2875	8.75295e+06
4.075	0.2925	8.4071e+06
4.075	0.2975	8.15182e+06
4.075	0.3025	8.06313e+06
4.075	0.3075	7.67569e+06
4.075	0.3125	6.53601e+06
4.075	0.3175	6.27831e+06
4.075	0.3225	5.00954e+06
4.075	0.3275	4.19039e+06
4.075	0.3325	3.39273e+06
4.075	0.3375	2.10314e+06
4.075	0.3425	1.61383e+06
4.075	0.3475	1.19545e+06
4.075	0.3525	263121
4.075	0.3575	112760
4.075	0.3625	81801.3
4.075	0.3675	34382.8
4.075	0.3725	4131.48
4.125	0.2725	938929
4.125	0.2775	8.17765e+06
4.125	0.2825	8.48122e+06
4.125	0.2875	8.45125e+06
4.125	0.2925	8.22827e+06
4.125	0.2975	7.9971e+06
4.125	0.3025	7.87429e+06
4.125	0.3075	7.82531e+06
4.125	0.3125	7.35819e+06
4.125	0.3175	6.47513e+06
4.125	0.3225	6.24068e+06
4.125	0.3275	5.25368e+06
4.125	0.3325	3.84798e+06
4.125	0.3375	3.56445e+06
4.125	0.3425	2.33983e+06
4.125	0.3475	1.51474e+06
4.125	0.3525	1.46865e+06
4.125	0.3575	764436
4.125	0.3625	128067
4.125	0.3675	75811.4
4.125	0.3725	65211
4.125	0.3775	31085.7
4.125	0.3825	373.478
4.175	0.2775	3.15056e+06
4.175	0.2825	8.29743e+06
4.175	0.2875	8.10747e+06
4.175	0.2925	7.84913e+06
4.175	0.2975	7.80468e+06
4.175	0.3025	7.60501e+06
4.175	0.3075	7.51423e+06
4.175	0.3125	7.3805e+06
4.175	0.3175	7.02408e+06
4.175	0.3225	6.46554e+06
4.175	0.3275	5.8745e+06
4.175	0.3325	5.35393e+06
4.175	0.3375	3.69709e+06
4.175	0.3425	3.58981e+06
4.175	0.3475	2.57777e+06
4.175	0.3525	1.4932e+06
4.175	0.3575	1.51877e+06
4.175	0.3625	1.32858e+06
4.175	0.3675	358258
4.175	0.3725	69770.6
4.175	0.3775	74496.8
4.175	0.3825	73014.1
4.175	0.3875	15215.9
4.225	0.2775	13546.4
4.225	0.2825	5.5886e+06
4.225	0.2875	7.78102e+06
4.225	0.2925	7.55893e+06
4.225	0.2975	7.42259e+06
4.225	0.3025	7.38916e+06
4.225	0.3075	7.17259e+06
4.225	0.3125	7.18482e+06
4.225	0.3175	6.92075e+06
4.225	0.3225	6.73445e+06
4.225	0.3275	6.32195e+06
4.225	0.3325	5.60438e+06
4.225	0.3375	5.12358e+06
4.225	0.3425	3.92416e+06
4.225	0.3475	3.31114e+06
4.225	0.3525	2.8125e+06
4.225	0.3575	1.7047e+06
4.225	0.3625	1.47519e+06
4.225	0.3675	1.57525e+06
4.225	0.3725	762006
4.225	0.3775	99962.5
4.225	0.3825	73903.9
4.225	0.3875	83511.3
4.225	0.3925	32616.2
4.225	0.3975	9197.58
4.275	0.2825	800487
4.275	0.2875	7.08519e+06
4.275	0.2925	7.32878e+06
4.275	0.2975	7.25947e+06
4.275	0.3025	7.11493e+06
4.275	0.3075	7.04019e+06
4.275	0.3125	6.75642e+06
4.275	0.3175	6.78569e+06
4.275	0.3225	6.43177e+06
4.275	0.3275	6.46111e+06
4.275	0.3325	6.16719e+06
4.275	0.3375	5.44843e+06
4.275	0.3425	5.01648e+06
4.275	0.3475	4.17333e+06
4.275	0.3525	3.16003e+06
4.275	0.3575	2.90192e+06
4.275	0.3625	2.13121e+06
4.275	0.3675	1.46234e+06
4.275	0.3725	1.48815e+06
4.275	0.3775	1.11101e+06
4.275	0.3825	395006
4.275	0.3875	72614.1
4.275	0.3925	78905.6
4.275	0.3975	52362.6
4.275	0.4025	30726.1
4.275	0.4075	2997.3
4.325	0.2875	2.73782e+06
4.325	0.2925	7.03589e+06
4.325	0.2975	7.08291e+06
4.325	0.3025	6.92136e+06
4.325	0.3075	6.69482e+06
4.325	0.3125	6.61497e+06
4.325	0.3175	6.44484e+06
4.325	0.3225	6.39915e+06
4.325	0.3275	6.05405e+06
4.325	0.3325	6.16592e+06
4.325	0.3375	6.01824e+06
4.325	0.3425	5.22823e+06
4.325	0.3475	4.67662e+06
4.325	0.3525	4.36767e+06
4.325	0.3575	3.18235e+06
4.325	0.3625	2.79121e+06
4.325	0.3675	2.51777e+06
4.325	0.3725	1.72136e+06
4.325	0.3775	1.38618e+06
4.325	0.3825	1.22135e+06
4.325	0.3875	827716
4.325	0.3925	204482
4.325	0.3975	76587.9
4.325	0.4025	50283.7
4.325	0.4075	58420
4.325	0.4125	25612.5
4.325	0.4175	1828.79
4.375	0.2875	12502.6
4.375	0.2925	4.8624e+06
4.375	0.2975	6.62229e+06
4.375	0.3025	6.6231e+06
4.375	0.3075	6.51532e+06
4.375	0.3125	6.32302e+06
4.375	0.3175	6.33168e+06
4.375	0.3225	6.017e+06
4.375	0.3275	5.96457e+06
4.375	0.3325	5.737e+06
4.375	0.3375	5.76772e+06
4.375	0.3425	5.65883e+06
4.375	0.3475	5.14787e+06
4.375	0.3525	4.504e+06
4.375	0.3575	4.4179e+06
4.375	0.3625	3.23536e+06
4.375	0.3675	2.59052e+06
4.375	0.3725	2.64078e+06
4.375	0.3775	2.0326e+06
4.375	0.3825	1.34639e+06
4.375	0.3875	1.13639e+06
4.375	0.3925	1.10274e+06
4.375	0.3975	536366
4.375	0.4025	98025
4.375	0.4075	49028
4.375	0.4125	55088.9
4.375	0.4175	62599.7
4.375	0.4225	22582
4.375	0.4275	1295.16
4.425	0.2925	729758
4.425	0.2975	6.06402e+06
4.425	0.3025	6.42699e+06
4.425	0.3075	6.25944e+06
4.425	0.3125	6.27494e+06
4.425	0.3175	5.98203e+06
4.425	0.3225	5.9491e+06
4.425	0.3275	5.74196e+06
4.425	0.3325	5.6629e+06
4.425	0.3375	5.40842e+06
4.425	0.3425	5.54044e+06
4.425	0.3475	5.29312e+06
4.425	0.3525	5.144e+06
4.425	0.3575	4.34604e+06
4.425	0.3625	4.20153e+06
4.425	0.3675	3.55409e+06
4.425	0.3725	2.53849e+06
