Q2_center	xbj_center	Content
1.125	0.3425	1.79919e+07
1.125	0.3475	1.73131e+07
1.125	0.3525	1.63782e+07
1.125	0.3575	1.45285e+07
1.125	0.3625	1.42464e+07
1.125	0.3675	1.48592e+07
1.125	0.3725	1.52383e+07
1.125	0.3775	1.5068e+07
1.125	0.3825	1.48409e+07
1.125	0.3875	1.37293e+07
1.125	0.3925	1.38652e+07
1.125	0.3975	1.25987e+07
1.125	0.4025	1.07708e+07
1.125	0.4075	9.94705e+06
1.125	0.4125	1.02054e+07
1.125	0.4175	1.00712e+07
1.125	0.4225	9.54267e+06
1.125	0.4275	7.45515e+06
1.125	0.4325	5.99432e+06
1.125	0.4375	4.50008e+06
1.125	0.4425	4.22977e+06
1.125	0.4475	3.68008e+06
1.125	0.4525	3.28086e+06
1.125	0.4575	4.13132e+06
1.125	0.4625	3.59511e+06
1.125	0.4675	2.77278e+06
1.125	0.4725	2.91417e+06
1.125	0.4775	2.96257e+06
1.125	0.4825	2.01128e+06
1.125	0.4875	2.13294e+06
1.125	0.4925	1.72095e+06
1.125	0.4975	1.14182e+06
1.125	0.5025	1.08905e+06
1.125	0.5075	1.3967e+06
1.125	0.5125	639628
1.125	0.5175	525144
1.125	0.5225	184501
1.125	0.5275	11337.6
1.175	0.0875	1.87664e+07
1.175	0.0925	1.3577e+08
1.175	0.0975	1.73503e+08
1.175	0.1025	1.62756e+08
1.175	0.1075	1.55872e+08
1.175	0.1125	1.51621e+08
1.175	0.1175	1.39903e+08
1.175	0.1225	1.33538e+08
1.175	0.1275	1.25314e+08
1.175	0.1325	1.2462e+08
1.175	0.1375	1.15507e+08
1.175	0.1425	1.12698e+08
1.175	0.1475	1.0433e+08
1.175	0.1525	1.03644e+08
1.175	0.1575	9.94826e+07
1.175	0.1625	9.35804e+07
1.175	0.1675	8.68811e+07
1.175	0.1725	8.973e+07
1.175	0.1775	8.95812e+07
1.175	0.1825	8.3512e+07
1.175	0.1875	8.02909e+07
1.175	0.1925	7.82773e+07
1.175	0.1975	7.30885e+07
1.175	0.2025	7.30482e+07
1.175	0.2075	7.26343e+07
1.175	0.2125	6.88771e+07
1.175	0.2175	6.64474e+07
1.175	0.2225	6.51799e+07
1.175	0.2275	5.99431e+07
1.175	0.2325	5.6928e+07
1.175	0.2375	5.79452e+07
1.175	0.2425	5.66726e+07
1.175	0.2475	5.32389e+07
1.175	0.2525	5.34469e+07
1.175	0.2575	5.07933e+07
1.175	0.2625	4.82941e+07
1.175	0.2675	4.5913e+07
1.175	0.2725	4.37047e+07
1.175	0.2775	4.58204e+07
1.175	0.2825	4.5497e+07
1.175	0.2875	4.46875e+07
1.175	0.2925	4.25905e+07
1.175	0.2975	4.12575e+07
1.175	0.3025	3.84561e+07
1.175	0.3075	3.62382e+07
1.175	0.3125	3.2339e+07
1.175	0.3175	2.88466e+07
1.175	0.3225	2.72027e+07
1.175	0.3275	2.13278e+07
1.175	0.3325	1.9537e+07
1.175	0.3375	2.0168e+07
1.175	0.3425	1.99491e+07
1.175	0.3475	1.89896e+07
1.175	0.3525	1.65508e+07
1.175	0.3575	1.58146e+07
1.175	0.3625	1.38768e+07
1.175	0.3675	1.39679e+07
1.175	0.3725	1.24652e+07
1.175	0.3775	1.21233e+07
1.175	0.3825	1.22234e+07
1.175	0.3875	1.25808e+07
1.175	0.3925	1.25635e+07
1.175	0.3975	1.28114e+07
1.175	0.4025	1.20001e+07
1.175	0.4075	1.10579e+07
1.175	0.4125	1.12596e+07
1.175	0.4175	9.90128e+06
1.175	0.4225	1.01604e+07
1.175	0.4275	1.05372e+07
1.175	0.4325	1.0527e+07
1.175	0.4375	1.03542e+07
1.175	0.4425	9.58071e+06
1.175	0.4475	8.3018e+06
1.175	0.4525	6.96593e+06
1.175	0.4575	6.33127e+06
1.175	0.4625	6.47058e+06
1.175	0.4675	6.93222e+06
1.175	0.4725	6.61375e+06
1.175	0.4775	7.15958e+06
1.175	0.4825	7.44264e+06
1.175	0.4875	7.21918e+06
1.175	0.4925	7.56165e+06
1.175	0.4975	7.31071e+06
1.175	0.5025	6.57024e+06
1.175	0.5075	7.02648e+06
1.175	0.5125	7.78047e+06
1.175	0.5175	7.586e+06
1.175	0.5225	7.90007e+06
1.175	0.5275	7.45076e+06
1.175	0.5325	6.90541e+06
1.175	0.5375	6.13549e+06
1.175	0.5425	5.63305e+06
1.175	0.5475	4.96315e+06
1.175	0.5525	4.64259e+06
1.175	0.5575	3.82186e+06
1.175	0.5625	3.91509e+06
1.175	0.5675	4.23536e+06
1.175	0.5725	3.81821e+06
1.175	0.5775	3.95939e+06
1.175	0.5825	3.80588e+06
1.175	0.5875	3.78853e+06
1.175	0.5925	3.77004e+06
1.175	0.5975	3.7861e+06
1.175	0.6025	3.19035e+06
1.175	0.6075	2.9125e+06
1.175	0.6125	2.55e+06
1.175	0.6175	2.27046e+06
1.175	0.6225	1.85509e+06
1.175	0.6275	1.72501e+06
1.175	0.6325	1.34513e+06
1.175	0.6375	1.55212e+06
1.175	0.6425	1.39607e+06
1.175	0.6475	1.15523e+06
1.175	0.6525	1.39329e+06
1.175	0.6575	1.44983e+06
1.175	0.6625	1.27756e+06
1.175	0.6675	1.28464e+06
1.175	0.6725	1.10664e+06
1.175	0.6775	926739
1.175	0.6825	765364
1.175	0.6875	582456
1.175	0.6925	537789
1.175	0.6975	716987
1.175	0.7025	791408
1.175	0.7075	825224
1.175	0.7125	649862
1.175	0.7175	528812
1.175	0.7225	494682
1.175	0.7275	388034
1.175	0.7325	375669
1.175	0.7375	226799
1.175	0.7425	374927
1.175	0.7475	329506
1.175	0.7525	150414
1.175	0.7575	79131
1.175	0.7625	44571.6
1.175	0.7675	39301.7
1.225	0.0925	1.76803e+07
1.225	0.0975	1.17214e+08
1.225	0.1025	1.50356e+08
1.225	0.1075	1.44348e+08
1.225	0.1125	1.37343e+08
1.225	0.1175	1.33333e+08
1.225	0.1225	1.25391e+08
1.225	0.1275	1.17785e+08
1.225	0.1325	1.14221e+08
1.225	0.1375	1.08563e+08
1.225	0.1425	1.02473e+08
1.225	0.1475	9.88861e+07
1.225	0.1525	9.42171e+07
1.225	0.1575	9.43872e+07
1.225	0.1625	9.00517e+07
1.225	0.1675	8.44151e+07
1.225	0.1725	8.13665e+07
1.225	0.1775	7.77008e+07
1.225	0.1825	8.17157e+07
1.225	0.1875	7.30915e+07
1.225	0.1925	7.15406e+07
1.225	0.1975	7.11514e+07
1.225	0.2025	6.76085e+07
1.225	0.2075	6.54267e+07
1.225	0.2125	6.58351e+07
1.225	0.2175	6.26303e+07
1.225	0.2225	5.93239e+07
1.225	0.2275	5.93143e+07
1.225	0.2325	5.63693e+07
1.225	0.2375	5.35595e+07
1.225	0.2425	5.16637e+07
1.225	0.2475	5.26874e+07
1.225	0.2525	4.94722e+07
1.225	0.2575	4.77934e+07
1.225	0.2625	4.70552e+07
1.225	0.2675	4.73025e+07
1.225	0.2725	4.39666e+07
1.225	0.2775	3.91254e+07
1.225	0.2825	3.82736e+07
1.225	0.2875	3.94026e+07
1.225	0.2925	3.79248e+07
1.225	0.2975	3.79258e+07
