Q2_center	xbj_center	Content
2.875	0.2775	8.21752e+06
2.875	0.2825	8.14656e+06
2.875	0.2875	7.49778e+06
2.875	0.2925	6.64908e+06
2.875	0.2975	6.03421e+06
2.875	0.3025	5.00397e+06
2.875	0.3075	4.12822e+06
2.875	0.3125	3.67873e+06
2.875	0.3175	2.63644e+06
2.875	0.3225	1.66487e+06
2.875	0.3275	1.77801e+06
2.875	0.3325	1.13787e+06
2.875	0.3375	370103
2.875	0.3425	50880.2
2.875	0.3475	57535.3
2.875	0.3525	47359.7
2.875	0.3575	12264.1
2.875	0.3625	1245.22
2.925	0.2675	2.30235e+06
2.925	0.2725	7.85626e+06
2.925	0.2775	7.72648e+06
2.925	0.2825	7.51772e+06
2.925	0.2875	7.58916e+06
2.925	0.2925	7.34443e+06
2.925	0.2975	6.80463e+06
2.925	0.3025	6.03313e+06
2.925	0.3075	5.61295e+06
2.925	0.3125	4.71714e+06
2.925	0.3175	3.70536e+06
2.925	0.3225	3.48544e+06
2.925	0.3275	2.36714e+06
2.925	0.3325	1.76615e+06
2.925	0.3375	1.57701e+06
2.925	0.3425	1.09265e+06
2.925	0.3475	488336
2.925	0.3525	75532.3
2.925	0.3575	57681.7
2.925	0.3625	38132.8
2.925	0.3675	21854.7
2.925	0.3725	6109.99
2.975	0.2725	2.60496e+06
2.975	0.2775	7.31399e+06
2.975	0.2825	7.09821e+06
2.975	0.2875	7.04788e+06
2.975	0.2925	6.98104e+06
2.975	0.2975	6.88177e+06
2.975	0.3025	6.81031e+06
2.975	0.3075	6.17804e+06
2.975	0.3125	5.60776e+06
2.975	0.3175	5.08224e+06
2.975	0.3225	4.01642e+06
2.975	0.3275	3.46323e+06
2.975	0.3325	3.16402e+06
2.975	0.3375	2.3398e+06
2.975	0.3425	1.60198e+06
2.975	0.3475	1.32604e+06
2.975	0.3525	1.16168e+06
2.975	0.3575	687479
2.975	0.3625	163900
2.975	0.3675	37457.3
2.975	0.3725	35290.5
